Player: 8kv7pft903k11 6opks7i4n5kqu89vxuj4x3
  88kera -393 496  57
 u8rw3ft -496 -12 -338
    lohm 441 233 -64
     mul -202 -479 -137
     xf0 301 -165 -81
  ugskah 375  30 -273
   dq30o 423 -181 -378
   5nbgg -147 357 -414
 k51x9qz -369 229  -9
    f4kd -323 -409 -316
  kzws72 189 -44 -464
  1phtjo -126 -475 429
  5hi32w -241 263 -428
    q4r7 -261 -197 174
   upwm8 -246 245 -452
     6ay -372 -63 349
     3e5 131 182 -92
    3ghq 149 492 -302
   06exe -473 -293  40
  182g7g -449 412 281
   11ky2 -278 298 208
 k2vf0y4 -447 -401 -51
  m1ihgj 134 -123 361
    qsa6 234 391 260
   5ap5i  35  34 -353
  4di8qo -446 161 241
  zz5m5m 262 -434 279
   7dm4e -376 -17 324
   ymiiz 139  43 -132
    zbxj 435   4 207
  faagqu 413 -117 -312
 u56v8su  32 -136 303
    9bw0 -414 481 212
   b3bih 254 -395 -401
  7i1ipl -444 246 -77
  m18c8p  57 -152  36
    fjsv 419   9 -190
    1x22 -43 215 138
   53bx9 168 -361 -22
  xg4fev 289 -99 -439
     t9a -41 -365 483
  mvuwad -169 -239 -253
     iav -20 -412 348
     62j -489 -382 -274
     59j 123 -215 -37
   96lgb -13 -478 -385
   vx14t 272 343   8
   r7ewf 360 -391 -187
   9mnf6 -493 -469 146
  o5dnjs 227 372 209
   kbe23 139 369  50
 i8v8nwo -419 -66 157
   hbxna -81 195 -127
    fkld 462 -277 403
    1wqm -365 147 355
    6igw -426 -51 280
   oq6xw -386  92  41
 y5134jt -340 272 483
  wp8e89 371 320 -378
    88zt -235 -344 -499
    0mk3 -240  55 -209
    q7bt  89 -225 387
  7v7lzy -208 -55 483
  bfl2kd -76 -125  72
whedsx9w 447 -273 -211
 uko5kmg -346 276  84
  7vb1xd 471 185 178
   lggfw 332 -31 -85
   hi41l -200 -482 461
   4hxfk 102 -295 -113
    uczb 288 -226 447
  johwtw -64 105 -142
   h5ayi 330 479 -294
  qz6gky 451 291   7
  l4337b 260  76 -242
   tlut2 -434 -478 -321
    tn5t 410 119 -440
     dme -493 375 199
   nfgxi -141 120 246
    t0nm  20 230 -210
  gxj4c6 -309  47 -388
    ql6k -60 -392 -344
  v2flik 158 -115 -43
  r2bo3m -294  45 375
   qwapv 444 -53 -245
    5ahw 105 463 228
     0s4 -476 -480 431
   pvfjq 309  41 204
  s680nv 482 -163 153
    wc8s -369 -500  75
    19ie -102 -334 -272
    xh6k -76 -29 -220
     4x7 345 -495  67
  kiz9iv -417 -244 -275
     lgo 413 153 160
     o8d -44   1 -305
  85ayex 403 -370 267
   blrdy -324 193 180
 j3o9mfh -490 -408 -495
    nc7f 397 -298 204
     4d1 -88 108 496
     orw 104 207 -184
     90j 337 207 476
  idm239 -409 247 157
   cj0x4  27 -251 -350
z9zsf3vi  68 -203 -319
    87rd 214  69 218
  vkc8ae -153 -359 200
   9gzb5 207 -172 -241
     cs0 -55 -176 482
   ws1kg -446 336 -444
    i8az 311  53 -373
   nllzd -280 296 235
   12xoq -234 190 209
   mhj8v 321 -158 -346
    8h9b -168  83 -437
     yx0 -219 307 -325
     01s -277 360 -245
   xf6cg -290 -470 242
    11qm -143 209 -197
    uqy0 -500 225 -397
  jmsebo 232 145 381
    jzcm 178 254 -366
waedymp8 -111 424 -438
   s51gg -77 444 -35
   pdwyu -300 -208 -313
    dfwa -412 -169 104
    lq81 -62 -158 -361
    1t3i -225 -491 -30
   di8p0 150 449 336
   ahdui -251 156 118
   oon2f -181 -326 208
   3lpwy 217 -95 -478
   6h587  60 304 -367
  jgchec -402 476 260
     351 -357 -115 453
   700qr -212 337 -486
   epxtz -282  43 -344
   bn5s1 391 306 -237
   nrjyf 427 -383 479
   d9tfh -163 -144 130
     bu6 137 -90 -164
    uw7u 200 485 229
  twusi7 -50 -239 -480
    sgiu -225 -489 214
  3fjki0 -200 361 169
   oed2o 143  29 -392
 9dts4oj 326 -161 305
   315k4  90 -329 -486
    ncvz 439  61 178
  amf3p2 458 -467 250
  noelgv -109 -89 -149
     0mj 442 -489 -381
  wf3yr7 -350 470 -326
  4ndqht 256 477  68
   52yjs 418 364 236
     4fw -31 497 -291
   et6aj -400 -106 -399
   2id3s -411 -116 195
   40zry 400 -274 422
    au4c  28 -178 -457
  w8j91l 413 -356 -282
   lkz1i -98 441 -198
   xfy7a 406 -438 -24
   w317w -152 156 265
   e1okz 109 -275 -27
  l9zc45 -36 393 448
   2t9bq  99 -54 -221
   7p52w 116 -367 447
    k3x8 404 -220 207
     wxc -325 -64 159
  mo8fgp -125 -206 -456
   xijhz 290 -466 208
  krcro6 -194 -473 -118
    3ems -115 -335 121
    yypr -83 476 -340
     lsc 440 -145 211
   bddyw 211 440 -125
   zw30l -215 -335 322
 m0ljlb1 211 230 -321
    stvn 303 -125 339
  thlmi2 368  87 219
   uytwx 169 239 126
   cy87x  88 -45 424
    e55p -449 -412 -244
   f9q6t 189 228 162
     mpj -290  16 -76
  t43tgj -44 169 -441
    mpoc 409 130 -372
 hwm1tmq 452 -180 -222
    yz38 -72 -406 -117
    3vxc  45 -293  85
   w1wt3 -146  94 -124
   j5b2u -348 -72 -58
 xc28sz8 -442 -203  82
 kcmzt0h 342 -317 253
   v026p -163 -490 213
    8efz -220 -32 453
   gg987 -281 -190 -195
  ylxdyp 239 -40 -421
    g569 -452 281   7
    u7e4  33 -411 276
   86i0a 342  76 373
  c5exjl -190 -487  81
   8armx 114 258 -299
    pg2e 185 438 -64
  hpbidb -289 -395 258
    wox2  27  -4 478
     brj -439 390 213
   7uhm6  95 103 303
   rmdwt -451 -431 121
   0g2xs  44 350  62
     cr8 -436  20 -168
   0w7vg 231 -134 -286
   kk4k8 -442 -179 160
 4h95ljx -68 -456 -343
   4rbeq 182 271 319
     0ey -332 -280 -212
   9wpkb -142 -127 -200
  s5bwzy -342 -465 351
     iit -308 -306 -441
  ci9mrv -269 -283 443
    uhv1 -57 -424 -182
  b9aep5  -3 101 -163
   y5qa4 -436 334 -64
    k30t -466 296 -166
  4zg0jh 186 -24 140
    n0ts -382 182  93
   7esiz -318 -103  12
    zjcu -70 163 199
 m92wk65 255 132 -433
     86r -463 273 499
   wa8du  99 -139 -209
     s6m -239 -143 -175
  n399hh -250 -359 340
    2aa4 418 -233 -500
    1vc4 204 -27 280
   262di  88 -471 -146
  fcvvhm 209 -306 110
     3m9 -65 116 415
   insnu 192 -322 -42
    6fj7  98 -316 -179
     h8o -374 498 377
   czpqr  71  28 -481
   mxlag 217 -353 -51
   8098p -31 -295 -146
    3oof -332  62 252
     sz9 129 -385 -245
    wm4i -95 234 253
  vvp827 451 345 144
   ahm2h 389 -344 228
ks13mgwe -430  72 429
   8t4e5 -25 231 -401
    bbet 175 288 -217
   4a267 -362 494 427
    e4d5 231 -122 264
   8k9v7 -145 257 -327
     9da 137 -328 -16
     stp 209 -331 263
   8p1rf 134 323 -449
   8rcvd -34 -26 474
   570j7 -443  99 401
   vk3mz -245 -284 369
   x01zp 236 -402 -276
    j475 -224 169 -270
   8kuj6 -345 185 -242
    vcli 134 189 -56
  ytwqxm 347 -376 460
